Zone,OSM ID
North Thuong Tin industrial park,593793804
Phu Tan Industrial Zone,598130045
Phuc Khanh Industrial Zone,597913405
Que Vo II Industrial Zone,
Yen Phong Industrial Zone,598146229
Saigon Hi Tech Park,597903703
VSIP - Bac Ninh,597889172
VSIP - Hai Duong,597885883
VSIP - Hai Phong,597873223
VSIP - Quang Ngai,597869809
Cambodia Sihanoukville Special Economic Zone,444510025
Manhattan SEZ,360992105
Tai Seng Bavet SEZ,360992106
Phnom Penh SEZ ,256814053
Thilawa SEZ,597862065
Ratchaburi Industrial Estate,300180094
Asia Industrial Estate,528060067
Hyeongok Foreign Investment Zone,597838000
Sacheon Foreign Investment Zone,472471237
Klaipeda FEZ,160404854
Kaunas Free Economic Zone,597925823
Marijampole FEZ,598098057
Kedainiai FEZ,597925465
Siauliai FEZ,597921591
Denizli Free Zone,597922219
Antalya,26800659
Tire Organized Industrial Zone,402376174
Gebze Organized Industrial Zone,597854481
Kocaeli Free Zone,150063788
Bursa Free Zone,597831950
Free Zone Skopje 1,598135048
Prilep Free Zone,433162499
Ontusik SEZ,142742657
Bishkek FEZ,161377849
Occidente Free Trade Zone,530265573
Tayrona Free Trade Zone,597890709
Brisa Free Trade Zone,597885537
La Cayena Free Trade Zone,597888546
Zona Franca Parque  Sur,597893086
Santander Free Trade Zone,597896876
Permanente Del Cauca Permanent Free Trade Zone,597846440
Zona Franca Zofia (Baranquilla),597849200
Zona Franca Surcolombia,597852105
Zona Franca Comodoro,598099837
America Free Zone,28686804
Coyol Free Zone,314206248
Z.F.I. Bella Vista ,598146839
ZOLI  America Free Zone,597885829
ZOLI Honduras Free Zone,597886619
Green Valley Industrial Park,597890190
Multimodal Caucedo Industrial Free Zone,27956987
CODEVI Free Zone,201227283
Caracol Free Zone,162371178
Tanger Free Zone,206888316
Tangier Automotive City,597903191
Tetouan Park,597910532
Tetouan Shore,392850946
DMCC Free Zone,598112464
Dubai Industrial Park,597917468
Masdar City Free Zone,598141992
Hamriyah Free Zone,598099823
Dubai Cars & Automotive Zone (DUCAMZ),222638129
Damietta Public Free Zone,598123819
Adamjee EPZ,147998644
Abdul Monem Private Economic Zone,597870536
Comilla EPZ,241761257
Karnapuli,597893139
Ishwardi EPZ,531650053
"Mahindra City SEZ (IT), T. Nadu",597900843
Divi’s Laboratories Limited,597904342
Moradabad SEZ,597907936
Coimbatore Hitech SEZ,598138648
Cheyyar SEZ Developers Pvt. Ltd.,597913161
SIPC of Tamil Nadu Limited,84620839
Khairpur Special Economic Zone,597916429
Sialkot Export Processing Zone,597918019
Seethawaka Export Processing Zone,559441748
Horana Export Processing Zone,597919422
Wathupitiwala Export Processing Zone,597921535
Mirigama Export Processing Zone,370392280
Bhairahawa Special Economic Zone,598128217
Ayki Addis IDZ,197709562
Bole Lemi 1 IDZ,422509127
Eastern IDZ - Dukem,193352480
Hawassa IDZ,447873671
Hujian IDZ,598146210
Kombolcha IDZ,598139099
Ladol Logistics Free Zone,597920426
Lekki Free Trade Zone,598133268
Ogun Guangdong Free Trade Zone,597915414
Onne Oil & Gas Export Free Zone,597913410
Coega Industrial Development Zone,597888669
East London IDZ,402363714
Kigali SEZ,467579646
Locone Industrial Free Zone,327413906
Minheuene Industrial Free Zone,326058731
Manga-Mungassa Special Economic Zone,326353209
Global Industrial Park Export Processing Zone,598085638
Kisongo Export Processing Zone,290194968
Benjamin Mkapa Special Economic Zone,398180326
Lusaka East Multi Facility Economic Zone,289332732
